"scn","trough_year","variable","met","trough_resistance","description","unit","severity"
"harvest_45",0,"GPP",1981,-0.0844108803125812,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1981,-0.149787459996284,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1981,-0.246039996226375,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1983,-0.344444968198277,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1983,-0.647245408253446,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1983,-1.30061566030897,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1985,-0.0876613821157108,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1985,-0.151546046692746,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1985,-0.238870797646534,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1987,-0.102610088212609,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1987,-0.147650815045628,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1987,-0.244246063540582,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1989,-0.123135058656126,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1989,-0.206151809633291,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1989,-0.319625374698604,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1991,-0.0979674773964333,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1991,-0.166290812439778,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1991,-0.265859992414653,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1993,-0.1014875882489,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1993,-0.172453962640691,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1993,-0.268031636528304,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1995,-0.102631257415935,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1995,-0.172474344551735,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1995,-0.270962146204008,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",1997,-0.418725322705727,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",1997,-0.775108233628453,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",1997,-1.51337560165666,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2000,-0.0953250270950051,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2000,-0.163224365840612,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2000,-0.26014972770062,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2002,-0.163609546270248,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2002,-0.268494832773668,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2002,-0.403555570881892,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2004,-0.0974556139905795,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2004,-0.171025610602449,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2004,-0.277141433835497,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2006,-0.0430186593494652,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2006,-0.0944390291323274,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2006,-0.187991516542693,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2008,-0.0725081124123498,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2008,-0.14765329533563,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2008,-0.253751490209036,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",1,"GPP",2010,-0.0435831321809237,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",1,"GPP",2010,-0.0721191195427139,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",1,"GPP",2010,-0.13607522107231,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2012,-0.0664270858907708,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2012,-0.1226334234265,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2012,-0.209169921343587,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2014,-0.0970010325028378,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2014,-0.166870830818849,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2014,-0.264193085915238,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2016,-0.0755211224485317,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2016,-0.146347408841843,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2016,-0.249717175181212,"Annual  Gross primary productivity","unitless","85 %"
"harvest_45",0,"GPP",2019,-0.0797801674833651,"Annual  Gross primary productivity","unitless","45 %"
"harvest_65",0,"GPP",2019,-0.143337145608654,"Annual  Gross primary productivity","unitless","65 %"
"harvest_85",0,"GPP",2019,-0.237205788100898,"Annual  Gross primary productivity","unitless","85 %"
